network,n_nodes,out_degree,weight_regime,mc_model,mc_slope,mc_decay_rate,mc_p_slope,mc_p_slope_fmt,mc_r_squared,mc_mean_p,mc_mean_cohens_d,kr_model,kr_slope,kr_decay_rate,kr_p_slope,kr_p_slope_fmt,kr_r_squared,kr_mean_p,kr_mean_cohens_d
HM,64,10,random_broad,linear,-1.2743,,0.0001,<0.0001,0.8501,0.1844,-0.0491,linear,-1.0273,,0.0009,<0.001,0.7215,0.3647,0.0662
HM,64,10,adjusted_narrow,linear,-0.3631,,0.0003,<0.001,0.7859,0.0000,1.9151,linear,0.2127,,0.1443,0.144,0.2212,0.0000,1.6010
HM,64,10,adjusted_broad,exponential,-0.5634,-0.5634,0.3599,0.360,0.9510,0.1712,-0.0586,exponential,-1.8771,-1.8771,0.0378,<0.05,0.9320,0.2843,-0.0643
HM,128,6,binary,linear,-1.9172,,0.0000,<0.0001,0.9856,0.2435,0.5111,linear,-0.5418,,0.0005,<0.001,0.7586,0.0000,2.8057
HM,128,6,random_narrow,linear,-1.8955,,0.0000,<0.0001,0.9942,0.2967,0.4313,linear,-0.7855,,0.0000,<0.0001,0.9431,0.0000,1.7510
HM,128,6,random_broad,linear,-3.9451,,0.0000,<0.0001,0.8905,0.0751,-0.1946,linear,-4.4836,,0.0002,<0.001,0.7998,0.1930,-0.2668
HM,128,6,adjusted_narrow,linear,-1.9204,,0.0000,<0.0001,0.9640,0.2166,0.2770,linear,-0.8109,,0.0000,<0.0001,0.9437,0.0000,1.6346
HM,128,6,adjusted_broad,exponential,-5.1388,-5.1388,0.0006,<0.001,0.9563,0.1972,-0.0690,exponential,-7.5675,-7.5675,0.0003,<0.001,0.9611,0.5174,-0.0786
HM,128,10,binary,linear,-1.0170,,0.0000,<0.0001,0.9494,0.0000,2.3273,linear,0.2964,,0.0326,<0.05,0.4144,0.0000,3.6843
HM,128,10,random_narrow,linear,-0.7129,,0.0000,<0.0001,0.9123,0.0000,2.9304,linear,-0.0273,,0.7497,0.750,0.0119,0.0000,4.3964
HM,128,10,random_broad,linear,-2.5367,,0.0000,<0.0001,0.9009,0.0684,-0.2615,linear,-2.3927,,0.0000,<0.0001,0.8975,0.2437,-0.2980
HM,128,10,adjusted_narrow,linear,-0.7535,,0.0000,<0.0001,0.8809,0.0000,2.5885,linear,0.0873,,0.2132,0.213,0.1662,0.0000,3.1935
