network,n_nodes,out_degree,weight_regime,mc_model,mc_slope,mc_decay_rate,mc_p_slope,mc_p_slope_fmt,mc_r_squared,mc_mean_p,mc_mean_cohens_d,kr_model,kr_slope,kr_decay_rate,kr_p_slope,kr_p_slope_fmt,kr_r_squared,kr_mean_p,kr_mean_cohens_d
HMCP,256,6,random_narrow,linear,-1.9558,,0.0000,<0.0001,0.9347,0.0000,-3.1013,linear,-0.6364,,0.0006,<0.001,0.7494,0.3590,-0.3729
HMCP,256,6,random_broad,linear,-5.6113,,0.0000,<0.0001,0.8921,0.1766,-0.2007,linear,-6.0855,,0.0003,<0.001,0.7828,0.2222,-0.4670
HMCP,256,6,adjusted_narrow,linear,-1.9553,,0.0000,<0.0001,0.8544,0.0000,-2.9822,linear,-0.6000,,0.0016,<0.01,0.6865,0.2514,-0.5301
HMCP,256,6,adjusted_broad,exponential,-5.7717,-5.7717,0.0003,<0.001,0.9638,0.3325,-0.0765,exponential,-8.7280,-8.7280,0.0000,<0.0001,0.9783,0.4909,-0.1057
HMCP,256,10,binary,linear,-1.4357,,0.0009,<0.001,0.7229,0.0000,-3.5457,linear,-0.4327,,0.0029,<0.01,0.6447,0.3316,0.4010
HMCP,256,10,random_narrow,linear,-1.4423,,0.0012,<0.01,0.7077,0.0000,-4.0495,linear,-0.7582,,0.0063,<0.01,0.5827,0.3467,0.5287
HMCP,256,10,random_broad,linear,-3.6572,,0.0002,<0.001,0.7977,0.0096,-0.4817,linear,-3.4673,,0.0023,<0.01,0.6619,0.0094,-1.0660
HMCP,256,10,adjusted_narrow,linear,-1.3734,,0.0078,<0.01,0.5632,0.0000,-4.1203,linear,-0.6673,,0.0382,<0.05,0.3955,0.2984,0.4551
HMCP,256,10,adjusted_broad,exponential,-4.4793,-4.4793,0.0016,<0.01,0.9450,0.1803,-0.0042,exponential,-7.0157,-7.0157,0.0002,<0.001,0.9661,0.2314,-0.1418
HMCP,512,6,binary,linear,-1.9959,,0.0000,<0.0001,0.9139,0.0000,-7.6023,linear,-0.1345,,0.1780,0.178,0.1917,0.3763,-0.3622
HMCP,512,6,random_narrow,linear,-2.1633,,0.0000,<0.0001,0.9230,0.0000,-7.2968,linear,-0.2291,,0.0054,<0.01,0.5959,0.0324,-1.7428
HMCP,512,6,random_broad,linear,-6.1477,,0.0000,<0.0001,0.8817,0.3667,-0.1205,linear,-7.4727,,0.0002,<0.001,0.8058,0.2241,-0.5399
HMCP,512,6,adjusted_narrow,linear,-2.2013,,0.0000,<0.0001,0.8673,0.0000,-6.4514,linear,-0.3055,,0.0339,<0.05,0.4098,0.0022,-1.7275
HMCP,512,6,adjusted_broad,exponential,-8.3075,-8.3075,0.0005,<0.001,0.9553,0.1567,-0.1048,exponential,-12.0921,-12.0921,0.0000,<0.0001,0.9832,0.3520,-0.2333
HMCP,512,10,binary,linear,-1.4498,,0.0045,<0.01,0.6111,0.0000,-12.6871,linear,-0.4255,,0.0609,0.061,0.3375,0.2027,0.5811
HMCP,512,10,random_narrow,linear,-1.5173,,0.0034,<0.01,0.6341,0.0000,-11.7035,linear,-0.3200,,0.0412,<0.05,0.3864,0.1579,-0.4790
HMCP,512,10,random_broad,linear,-4.1660,,0.0001,<0.001,0.8225,0.0971,-0.6353,linear,-3.7200,,0.0048,<0.01,0.6060,0.0453,-1.0705
HMCP,512,10,adjusted_narrow,linear,-1.4011,,0.0174,<0.05,0.4844,0.0000,-10.3552,linear,-0.2691,,0.2353,0.235,0.1524,0.2638,-0.5447
HMCP,512,10,adjusted_broad,exponential,-4.8330,-4.8330,0.0003,<0.001,0.9664,0.2681,-0.0773,exponential,-7.9374,-7.9374,0.0017,<0.01,0.9353,0.4516,-0.0626
HMCP,1024,6,binary,linear,-1.3988,,0.0101,<0.05,0.5388,0.0000,-23.4557,linear,-0.2909,,0.2251,0.225,0.1586,0.0000,-5.6466
HMCP,1024,6,random_narrow,linear,-1.8517,,0.0007,<0.001,0.7405,0.0000,-16.8517,linear,-0.4515,,0.0773,0.077,0.3064,0.0000,-6.9660
HMCP,1024,6,random_broad,linear,-4.1557,,0.0001,<0.001,0.8232,0.0284,-0.2033,linear,-4.8636,,0.0079,<0.01,0.5622,0.2066,-0.9836
HMCP,1024,6,adjusted_narrow,linear,-1.5523,,0.0123,<0.05,0.5200,0.0000,-19.1109,linear,-0.3909,,0.2180,0.218,0.1631,0.0000,-7.4494
HMCP,1024,6,adjusted_broad,exponential,-7.6477,-7.6477,0.0004,<0.001,0.9569,0.3156,-0.2518,exponential,-13.0531,-13.0531,0.0004,<0.001,0.9669,0.3928,-0.6031
HMCP,1024,10,binary,linear,-1.0871,,0.0240,<0.05,0.4495,0.0000,-24.6786,linear,-0.0303,,0.6999,0.700,0.0173,0.0680,-0.5238
HMCP,1024,10,random_narrow,linear,-1.2065,,0.0044,<0.01,0.6135,0.0000,-14.9111,linear,-0.2697,,0.0671,0.067,0.3249,0.0000,-4.6627
HMCP,1024,10,random_broad,linear,-4.0539,,0.0001,<0.0001,0.8410,0.0660,-0.5590,linear,-4.4485,,0.0032,<0.01,0.6372,0.0377,-1.2065
HMCP,1024,10,adjusted_narrow,linear,-1.1271,,0.0384,<0.05,0.3949,0.0000,-19.0231,linear,-0.2667,,0.0803,0.080,0.3013,0.0000,-4.1125
HMCP,1024,10,adjusted_broad,exponential,-5.8077,-5.8077,0.0001,<0.001,0.9693,0.1670,-0.1601,exponential,-8.6048,-8.6048,0.0001,<0.001,0.9701,0.6548,-0.2407
