network,n_nodes,out_degree,weight_regime,reciprocity,mc_struct_mean,mc_struct_std,mc_null_random_mean,mc_null_random_std,mc_p_value,mc_cohens_d,mc_p_fmt,kr_struct_mean,kr_struct_std,kr_null_random_mean,kr_null_random_std,kr_p_value,kr_cohens_d,kr_p_fmt
SW,64,6,adjusted_narrow,0.2000,11.4304,0.3587,11.4008,0.3438,0.2180,0.0854,0.218,6.3000,0.4583,6.1040,0.1455,0.0053,0.5765,<0.01
SW,64,6,adjusted_narrow,0.3000,11.3269,0.3336,11.2490,0.3379,0.0009,0.2308,<0.001,6.0400,0.2800,6.0400,0.1200,1.0000,0.0000,1.000
SW,64,6,adjusted_narrow,0.4000,11.2198,0.3578,11.1323,0.3399,0.0002,0.2551,<0.001,6.0200,0.3736,6.0080,0.0891,0.8273,0.0442,0.827
SW,64,6,adjusted_narrow,0.5000,11.1060,0.3495,10.9675,0.3367,0.0000,0.4084,<0.0001,6.0000,0.2828,5.9760,0.1106,0.5814,0.1118,0.581
SW,64,6,adjusted_narrow,0.6000,11.0924,0.3675,10.8402,0.3588,0.0000,0.7001,<0.0001,6.0200,0.3156,5.9480,0.1044,0.1327,0.3063,0.133
SW,64,6,adjusted_narrow,0.7000,10.9782,0.3588,10.7406,0.3526,0.0000,0.6718,<0.0001,5.9600,0.2800,5.9400,0.1149,0.6447,0.0935,0.645
SW,64,6,adjusted_narrow,0.8000,10.9353,0.3865,10.6345,0.3551,0.0000,0.8345,<0.0001,6.0000,0.2828,5.8960,0.1800,0.0323,0.4387,<0.05
SW,64,6,adjusted_narrow,0.9000,10.7846,0.3959,10.5145,0.3507,0.0000,0.7535,<0.0001,5.9800,0.2441,5.8680,0.1476,0.0071,0.5552,<0.01
SW,64,6,adjusted_narrow,1.0000,10.9048,0.4224,10.6092,0.3833,0.0000,0.7578,<0.0001,6.1000,0.3000,5.9160,0.1206,0.0001,0.8048,<0.001
SW,64,6,adjusted_broad,0.0000,15.0649,1.1769,15.0734,1.3993,0.9281,-0.0063,0.928,11.7200,1.4702,11.4560,0.6789,0.2566,0.2305,0.257
SW,64,6,adjusted_broad,0.1000,13.2780,1.7478,13.3848,2.1266,0.4563,-0.0517,0.456,9.8200,1.7169,9.5440,0.9174,0.3234,0.2005,0.323
SW,64,6,adjusted_broad,0.2000,12.1224,1.9932,12.1450,2.0647,0.8739,-0.0110,0.874,8.6600,1.7957,8.4640,0.8758,0.4939,0.1387,0.494
SW,64,6,adjusted_broad,0.3000,11.2074,2.0364,11.3533,1.9748,0.2891,-0.0735,0.289,7.5400,1.5647,7.8120,0.6124,0.2599,-0.2289,0.260
SW,64,6,adjusted_broad,0.4000,11.1748,1.7733,10.7869,1.7335,0.0013,0.2229,<0.01,7.6800,1.2718,7.3120,0.6186,0.0716,0.3680,0.072
SW,64,6,adjusted_broad,0.5000,10.7588,1.6568,10.6199,1.6978,0.2361,0.0822,0.236,7.2400,1.4080,7.2080,0.5628,0.8829,0.0298,0.883
SW,64,6,adjusted_broad,0.6000,9.7440,1.8776,10.3275,1.4230,0.0000,-0.3869,<0.0001,6.5600,1.4854,6.9360,0.6098,0.1044,-0.3312,0.104
